Part of Speech	Word
Verb	get
Verb	set
Verb	create
Verb	delete
Verb	update
Verb	rollback
Verb	add
Verb	remove
Verb	append
Verb	insert
Noun	list
Verb	count
Verb	read
Verb	write
Verb	load
Verb	save
Verb	open
Verb	close
Verb	start
Verb	stop
Verb	run
Verb	init
Verb	finalize
Verb	connect
Verb	disconnect
Verb	push
Verb	pop
Verb	peek
Verb	enqueue
Verb	dequeue
Verb	find
Verb	search
Verb	filter
Verb	sort
Verb	map
Verb	reduce
Verb	fold
Verb	apply
Verb	transform
Verb	parse
Verb	serialize
Verb	deserialize
Verb	encode
Verb	decode
Verb	validate
Verb	invalidate
Verb	authenticate
Verb	authorize
Verb	login
Verb	logout
Verb	register
Verb	subscribe
Verb	unsubscribe
Verb	publish
Verb	dispatch
Verb	trigger
Noun	event
Noun	callback
Noun	listener
Noun	handler
Noun	controller
Noun	manager
Noun	service
Noun	client
Noun	repository
Noun	helper
Noun	util
Noun	utility
Noun	config
Noun	settings
Noun	preferences
Noun	user
Noun	admin
Noun	account
Noun	member
Noun	session
Noun	context
Noun	request
Noun	response
Noun	message
Noun	packet
Noun	payload
Noun	header
Noun	body
Noun	content
Noun	data
Noun	object
Noun	resource
Noun	record
Noun	entity
Noun	model
Noun	view
Noun	action
Noun	route
Noun	endpoint
Noun	api
Noun	uri
Noun	url
Noun	host
Noun	port
Noun	proxy
Noun	adapter
Noun	factory
Noun	builder
Noun	decorator
Noun	iterator
Noun	generator
Noun	supplier
Noun	consumer
Noun	stream
Noun	buffer
Noun	cache
Noun	pool
Verb	lock
Verb	unlock
Noun	mutex
Noun	semaphore
Noun	transaction
Verb	commit
Verb	rollback
Noun	savepoint
Verb	deploy
Verb	release
Verb	monitor
Verb	log
Verb	trace
Verb	debug
Verb	info
Verb	warn
Noun	error
Adjective	fatal
Adjective	critical
Noun	exception
Noun	failure
Noun	success
Verb	pass
Adjective	ok
Adjective	valid
Adjective	invalid
Adjective	ready
Adjective	pending
Adjective	completed
Adjective	active
Adjective	inactive
Adjective	enabled
Adjective	disabled
Adjective	visible
Adjective	hidden
Verb	pause
Verb	resume
Verb	break
Verb	continue
Verb	yield
Verb	await
Adjective	async
Adjective	sync
Adjective	concurrent
Adjective	parallel
Adjective	sequential
Adjective	realtime
Adjective	offline
Adjective	online
Verb	merge
Verb	split
Verb	join
Verb	bind
Verb	unbind
Verb	attach
Verb	detach
Verb	mount
Verb	unmount
Verb	notify
Noun	alert
Noun	signal
Verb	broadcast
Verb	multicast
Verb	unicast
Verb	accept
Verb	reject
Verb	allow
Verb	deny
Verb	gain
Verb	lose
Verb	maximize
Verb	minimize
